Cuenca o Litoral;Grupo de especie;Formato;Especie;Nombre más común de la especie;Forma de presentación;Cantidad de subregistros;Confirmación
Pacífico;Peces;PezOseo;Euthynnus lineatus;Atún patiseca;Entero;511;
Pacífico;Peces;PezOseo;Euthynnus lineatus;Atún patiseca;Entero enhielado;20;
Pacífico;Peces;PezOseo;Euthynnus lineatus;Atún patiseca;Entero fresco;165;
Pacífico;Peces;PezOseo;Euthynnus lineatus;Atún patiseca;Eviscerado;80;
Pacífico;Peces;PezOseo;Euthynnus lineatus;Atún patiseca;Eviscerado con gónada;1;
Pacífico;Peces;PezOseo;Euthynnus lineatus;Atún patiseca;Eviscerado enhielado;27;
Pacífico;Peces;PezOseo;Euthynnus lineatus;Atún patiseca;Eviscerado fresco;1;
Pacífico;Peces;PezOseo;Genyatremus dovii;Curruca tres rayas;Entero;1;
Pacífico;Peces;PezOseo;Genyatremus pacifici;Curruca tres rayas;Entero;57;
Pacífico;Peces;PezOseo;Genyatremus pacifici;Curruca tres rayas;Entero enhielado;6;
Pacífico;Peces;PezOseo;Genyatremus pacifici;Curruca tres rayas;Entero fresco;2;
Pacífico;Peces;PezOseo;Genyatremus pacifici;Curruca tres rayas;Eviscerado;37;
Pacífico;Peces;PezOseo;Genyatremus pacifici;Curruca tres rayas;Eviscerado fresco;3;
Pacífico;Peces;PezOseo;Haemulon scudderii;Roncador;Entero;28;
Pacífico;Peces;PezOseo;Haemulon scudderii;Roncador;Eviscerado;14;
Pacífico;Peces;PezOseo;Haemulopsis axillaris;Roncador;Entero;210;
Pacífico;Peces;PezOseo;Haemulopsis axillaris;Roncador;Entero enhielado;1;
Pacífico;Peces;PezOseo;Haemulopsis axillaris;Roncador;Entero fresco;11;
Pacífico;Peces;PezOseo;Haemulopsis axillaris;Roncador;Eviscerado sin gónada;3;
Pacífico;Peces;PezOseo;Haemulopsis elongatus;Kiskis Llama marea;Entero;8;
Pacífico;Peces;PezOseo;Haemulopsis elongatus;Kiskis Llama marea;Entero fresco;13;
Pacífico;Peces;PezOseo;Haemulopsis elongatus;Kiskis Llama marea;Eviscerado;1;
Pacífico;Peces;PezOseo;Haemulopsis elongatus;Kiskis Llama marea;Eviscerado fresco;1;
Pacífico;Peces;PezOseo;Haemulopsis leuciscus;Roncador;Entero;352;
Pacífico;Peces;PezOseo;Haemulopsis leuciscus;Roncador;Entero enhielado;1;
Pacífico;Peces;PezOseo;Haemulopsis leuciscus;Roncador;Eviscerado;11;
Pacífico;Peces;PezOseo;Haemulopsis nitidus;Roncador;Entero;27;
Pacífico;Peces;PezOseo;Hemanthias peruanus;Pargo nylon amarillo;Entero;2;
Pacífico;Peces;PezOseo;Hemanthias peruanus;Pargo nylon amarillo;Entero enhielado;1;
Pacífico;Peces;PezOseo;Hemanthias signifer;Pargo nylon;Entero fresco;3;
Pacífico;Peces;PezOseo;Hemicaranx zelotes;Comegargajo;Entero;11;
Pacífico;Peces;PezOseo;Hemiramphus saltator;Aguja;Descabezado;7;
Pacífico;Peces;PezOseo;Hemiramphus saltator;Aguja;Entero;142;
Pacífico;Peces;PezOseo;Hemiramphus saltator;Aguja;Entero enhielado;4;
Pacífico;Peces;PezOseo;Hemiramphus saltator;Aguja;Entero fresco;3;
Pacífico;Peces;PezOseo;Hemiramphus saltator;Aguja;Eviscerado;23;
Pacífico;Peces;PezOseo;Hemiramphus saltator;Aguja;Eviscerado sin gónada;1;
Pacífico;Peces;PezOseo;Hoplopagrus guentherii;Pargo roquero;Entero;30;
Pacífico;Peces;PezOseo;Hoplopagrus guentherii;Pargo roquero;Entero enhielado;2;
Pacífico;Peces;PezOseo;Hoplopagrus guentherii;Pargo roquero;Entero fresco;3;
Pacífico;Peces;PezOseo;Hoplopagrus guentherii;Pargo roquero;Eviscerado;120;
Pacífico;Peces;PezOseo;Hoplopagrus guentherii;Pargo roquero;Eviscerado enhielado;48;
Pacífico;Peces;PezOseo;Hoplopagrus guentherii;Pargo roquero;Eviscerado fresco;6;
Pacífico;Peces;PezOseo;Hoplopagrus guentherii;Pargo roquero;Eviscerado sin gónada;5;
Pacífico;Peces;PezOseo;Hyporhamphus spp.;Agujeta blanca;Entero;20;
Pacífico;Peces;PezOseo;Hyporthodus acanthistius;Cherna rosada;Descabezado;6;
Pacífico;Peces;PezOseo;Hyporthodus acanthistius;Cherna rosada;Entero;164;
Pacífico;Peces;PezOseo;Hyporthodus acanthistius;Cherna rosada;Entero enhielado;56;
Pacífico;Peces;PezOseo;Hyporthodus acanthistius;Cherna rosada;Entero fresco;100;
Pacífico;Peces;PezOseo;Hyporthodus acanthistius;Cherna rosada;Eviscerado;576;
Pacífico;Peces;PezOseo;Hyporthodus acanthistius;Cherna rosada;Eviscerado con gónada;3;
Pacífico;Peces;PezOseo;Hyporthodus acanthistius;Cherna rosada;Eviscerado enhielado;505;
Pacífico;Peces;PezOseo;Hyporthodus acanthistius;Cherna rosada;Eviscerado fresco;797;
Pacífico;Peces;PezOseo;Hyporthodus acanthistius;Cherna rosada;Eviscerado sin gónada;301;
Pacífico;Peces;PezOseo;Hyporthodus niphobles;Morico verde;Entero;22;
Pacífico;Peces;PezOseo;Hyporthodus niphobles;Morico verde;Entero enhielado;15;
Pacífico;Peces;PezOseo;Hyporthodus niphobles;Morico verde;Entero fresco;3;
Pacífico;Peces;PezOseo;Hyporthodus niphobles;Morico verde;Eviscerado;101;
Pacífico;Peces;PezOseo;Hyporthodus niphobles;Morico verde;Eviscerado enhielado;69;
Pacífico;Peces;PezOseo;Hyporthodus niphobles;Morico verde;Eviscerado fresco;21;
Pacífico;Peces;PezOseo;Hyporthodus niphobles;Morico verde;Eviscerado sin gónada;13;
Pacífico;Peces;PezOseo;Isopisthus remifer;Pelada nocrio;Entero;158;
Pacífico;Peces;PezOseo;Isopisthus remifer;Pelada nocrio;Entero enhielado;1;
Pacífico;Peces;PezOseo;Isopisthus remifer;Pelada nocrio;Entero fresco;2;
Pacífico;Peces;PezOseo;Istiophorus platypterus;Pez vela del Atlantico y del Pacifico;Descabezado;3;
Pacífico;Peces;PezOseo;Istiophorus platypterus;Pez vela del Atlantico y del Pacifico;Entero;65;
Pacífico;Peces;PezOseo;Istiophorus platypterus;Pez vela del Atlantico y del Pacifico;Entero fresco;3;
Pacífico;Peces;PezOseo;Istiophorus platypterus;Pez vela del Atlantico y del Pacifico;Eviscerado;3;
Pacífico;Peces;PezOseo;Istiophorus platypterus;Pez vela del Atlantico y del Pacifico;Eviscerado fresco;1;
Pacífico;Peces;PezOseo;Istiophorus platypterus;Pez vela del Atlantico y del Pacifico;Tronco;7;
Pacífico;Peces;PezOseo;Istiophorus platypterus;Pez vela del Atlantico y del Pacifico;Trozos;2;
Pacífico;Peces;PezOseo;Katsuwonus pelamis;Atún barrilete;Entero;9;
Pacífico;Peces;PezOseo;Katsuwonus pelamis;Atún barrilete;Entero fresco;1;
Pacífico;Peces;PezOseo;Kyphosus elegans;Chopa barrilete;Entero;1;
Pacífico;Peces;PezOseo;Kyphosus elegans;Chopa barrilete;Entero enhielado;1;
Pacífico;Peces;PezOseo;Kyphosus elegans;Chopa barrilete;Eviscerado;39;
Pacífico;Peces;PezOseo;Kyphosus elegans;Chopa barrilete;Eviscerado enhielado;2;
Pacífico;Peces;PezOseo;Kyphosus ocyurus;Bonito;Entero;25;
Pacífico;Peces;PezOseo;Kyphosus ocyurus;Bonito;Entero enhielado;9;
Pacífico;Peces;PezOseo;Kyphosus ocyurus;Bonito;Entero fresco;9;
Pacífico;Peces;PezOseo;Kyphosus ocyurus;Bonito;Eviscerado;4;
Pacífico;Peces;PezOseo;Kyphosus ocyurus;Bonito;Eviscerado enhielado;2;
Pacífico;Peces;PezOseo;Kyphosus ocyurus;Bonito;Eviscerado sin gónada;5;
Pacífico;Peces;PezOseo;Larimus acclivis;Cajero;Entero;725;
Pacífico;Peces;PezOseo;Larimus acclivis;Cajero;Entero enhielado;24;
Pacífico;Peces;PezOseo;Larimus acclivis;Cajero;Entero fresco;63;
Pacífico;Peces;PezOseo;Larimus acclivis;Cajero;Eviscerado;13;
Pacífico;Peces;PezOseo;Larimus acclivis;Cajero;Eviscerado enhielado;1;
Pacífico;Peces;PezOseo;Larimus acclivis;Cajero;Salpreso;1;
Pacífico;Peces;PezOseo;Larimus argenteus;Cajero;Entero;176;
Pacífico;Peces;PezOseo;Larimus argenteus;Cajero;Entero congelado;1;
Pacífico;Peces;PezOseo;Larimus argenteus;Cajero;Entero enhielado;68;
Pacífico;Peces;PezOseo;Larimus argenteus;Cajero;Entero fresco;11;
Pacífico;Peces;PezOseo;Larimus argenteus;Cajero;Eviscerado;4;
Pacífico;Peces;PezOseo;Larimus argenteus;Cajero;Eviscerado enhielado;3;
Pacífico;Peces;PezOseo;Larimus argenteus;Cajero;Eviscerado fresco;14;
Pacífico;Peces;PezOseo;Larimus effulgens;Cajero;Entero;175;
Pacífico;Peces;PezOseo;Larimus effulgens;Cajero;Entero fresco;42;
Pacífico;Peces;PezOseo;Larimus effulgens;Cajero;Eviscerado;3;
Pacífico;Peces;PezOseo;Larimus spp.;Cajero;Entero;1423;
Pacífico;Peces;PezOseo;Larimus spp.;Cajero;Entero enhielado;201;
Pacífico;Peces;PezOseo;Larimus spp.;Cajero;Entero fresco;433;
Pacífico;Peces;PezOseo;Larimus spp.;Cajero;Eviscerado;355;
Pacífico;Peces;PezOseo;Larimus spp.;Cajero;Eviscerado enhielado;12;
Pacífico;Peces;PezOseo;Larimus spp.;Cajero;Eviscerado fresco;59;
Pacífico;Peces;PezOseo;Larimus spp.;Cajero;Seco salado;1;
Pacífico;Moluscos;Bivalvo;Larkinia grandis;Sangara;Carne;7;
Pacífico;Moluscos;Bivalvo;Larkinia grandis;Sangara;Entero fresco;1;
Pacífico;Peces;PezOseo;Lepophidium negropinna;Perla;Entero enhielado;72;
Pacífico;Peces;PezOseo;Lepophidium negropinna;Perla;Entero fresco;20;
Pacífico;Peces;PezOseo;Lepophidium spp.;Perla;Descabezado;1;
Pacífico;Peces;PezOseo;Lobotes pacifica;Berrugate;Colas;1;
Pacífico;Peces;PezOseo;Lobotes pacifica;Berrugate;Entero;314;
Pacífico;Peces;PezOseo;Lobotes pacifica;Berrugate;Entero enhielado;7;
Pacífico;Peces;PezOseo;Lobotes pacifica;Berrugate;Entero fresco;117;
Pacífico;Peces;PezOseo;Lobotes pacifica;Berrugate;Eviscerado;1425;
Pacífico;Peces;PezOseo;Lobotes pacifica;Berrugate;Eviscerado enhielado;578;
Pacífico;Peces;PezOseo;Lobotes pacifica;Berrugate;Eviscerado fresco;165;
Pacífico;Peces;PezOseo;Lobotes pacifica;Berrugate;Eviscerado sin gónada;392;
Pacífico;Peces;PezOseo;Lobotes pacifica;Berrugate;Seco salado;1;
Pacífico;Moluscos;Pulpos/Calamares;Lolliguncula diomedeae;Calamar;Entero;163;
Pacífico;Moluscos;Pulpos/Calamares;Lolliguncula diomedeae;Calamar;Entero enhielado;7;
Pacífico;Moluscos;Pulpos/Calamares;Lolliguncula diomedeae;Calamar;Entero fresco;20;
Pacífico;Moluscos;Pulpos/Calamares;Lolliguncula diomedeae;Calamar;Tubos;71;
Pacífico;Peces;PezOseo;Lutjanus aratus;Pargo jilguero;Entero;27;
Pacífico;Peces;PezOseo;Lutjanus aratus;Pargo jilguero;Eviscerado;74;
Pacífico;Peces;PezOseo;Lutjanus aratus;Pargo jilguero;Eviscerado enhielado;7;
Pacífico;Peces;PezOseo;Lutjanus aratus;Pargo jilguero;Eviscerado fresco;8;
Pacífico;Peces;PezOseo;Lutjanus argentiventris;Pargo coliamarillo;Entero;245;
Pacífico;Peces;PezOseo;Lutjanus argentiventris;Pargo coliamarillo;Entero enhielado;37;
Pacífico;Peces;PezOseo;Lutjanus argentiventris;Pargo coliamarillo;Entero fresco;96;
Pacífico;Peces;PezOseo;Lutjanus argentiventris;Pargo coliamarillo;Eviscerado;1238;
Pacífico;Peces;PezOseo;Lutjanus argentiventris;Pargo coliamarillo;Eviscerado enhielado;129;
Pacífico;Peces;PezOseo;Lutjanus argentiventris;Pargo coliamarillo;Eviscerado fresco;285;
Pacífico;Peces;PezOseo;Lutjanus argentiventris;Pargo coliamarillo;Eviscerado sin gónada;81;
Pacífico;Peces;PezOseo;Lutjanus argentiventris;Pargo coliamarillo;Salpreso;1;
Pacífico;Peces;PezOseo;Lutjanus colorado;Pargo vija;Entero;53;
Pacífico;Peces;PezOseo;Lutjanus colorado;Pargo vija;Entero fresco;36;
Pacífico;Peces;PezOseo;Lutjanus colorado;Pargo vija;Eviscerado;389;
Pacífico;Peces;PezOseo;Lutjanus colorado;Pargo vija;Eviscerado enhielado;19;
Pacífico;Peces;PezOseo;Lutjanus colorado;Pargo vija;Eviscerado fresco;101;
Pacífico;Peces;PezOseo;Lutjanus guttatus;Pargo lunarejo;Entero;887;
Pacífico;Peces;PezOseo;Lutjanus guttatus;Pargo lunarejo;Entero enhielado;155;
Pacífico;Peces;PezOseo;Lutjanus guttatus;Pargo lunarejo;Entero fresco;423;
Pacífico;Peces;PezOseo;Lutjanus guttatus;Pargo lunarejo;Eviscerado;2411;
Pacífico;Peces;PezOseo;Lutjanus guttatus;Pargo lunarejo;Eviscerado con gónada;1;
Pacífico;Peces;PezOseo;Lutjanus guttatus;Pargo lunarejo;Eviscerado enhielado;1561;
Pacífico;Peces;PezOseo;Lutjanus guttatus;Pargo lunarejo;Eviscerado fresco;585;
Pacífico;Peces;PezOseo;Lutjanus guttatus;Pargo lunarejo;Eviscerado sin gónada;1216;
Pacífico;Peces;PezOseo;Lutjanus jordani;Pargo jilguero;Entero;56;
Pacífico;Peces;PezOseo;Lutjanus jordani;Pargo jilguero;Entero enhielado;1;
Pacífico;Peces;PezOseo;Lutjanus jordani;Pargo jilguero;Entero fresco;2;
Pacífico;Peces;PezOseo;Lutjanus jordani;Pargo jilguero;Eviscerado;50;
Pacífico;Peces;PezOseo;Lutjanus jordani;Pargo jilguero;Eviscerado enhielado;1;
Pacífico;Peces;PezOseo;Lutjanus jordani;Pargo jilguero;Eviscerado fresco;14;
Pacífico;Peces;PezOseo;Lutjanus jordani;Pargo jilguero;Eviscerado sin gónada;18;
Pacífico;Peces;PezOseo;Lutjanus novemfasciatus;Pargo muelón;Entero;26;
Pacífico;Peces;PezOseo;Lutjanus novemfasciatus;Pargo muelón;Entero fresco;1;
Pacífico;Peces;PezOseo;Lutjanus novemfasciatus;Pargo muelón;Eviscerado;271;
Pacífico;Peces;PezOseo;Lutjanus novemfasciatus;Pargo muelón;Eviscerado enhielado;163;
Pacífico;Peces;PezOseo;Lutjanus novemfasciatus;Pargo muelón;Eviscerado fresco;77;
Pacífico;Peces;PezOseo;Lutjanus novemfasciatus;Pargo muelón;Eviscerado sin gónada;49;
Pacífico;Peces;PezOseo;Lutjanus peru;Pargo rojo;Entero;311;
Pacífico;Peces;PezOseo;Lutjanus peru;Pargo rojo;Entero enhielado;13;
Pacífico;Peces;PezOseo;Lutjanus peru;Pargo rojo;Entero fresco;69;
Pacífico;Peces;PezOseo;Lutjanus peru;Pargo rojo;Eviscerado;631;
Pacífico;Peces;PezOseo;Lutjanus peru;Pargo rojo;Eviscerado enhielado;257;
Pacífico;Peces;PezOseo;Lutjanus peru;Pargo rojo;Eviscerado fresco;128;
Pacífico;Peces;PezOseo;Lutjanus peru;Pargo rojo;Eviscerado sin gónada;133;
Pacífico;Peces;PezOseo;Lutjanus spp.;Pargos;Entero;3;
Pacífico;Peces;PezOseo;Lutjanus spp.;Pargos;Entero enhielado;1;
Pacífico;Peces;PezOseo;Lutjanus spp.;Pargos;Eviscerado enhielado;1;
Pacífico;Peces;PezOseo;Macrodon mordax;Pelada amarilladentona cagona;Entero;301;
Pacífico;Peces;PezOseo;Macrodon mordax;Pelada amarilladentona cagona;Entero enhielado;28;
Pacífico;Peces;PezOseo;Macrodon mordax;Pelada amarilladentona cagona;Entero fresco;94;
Pacífico;Peces;PezOseo;Macrodon mordax;Pelada amarilladentona cagona;Eviscerado;195;
Pacífico;Peces;PezOseo;Macrodon mordax;Pelada amarilladentona cagona;Eviscerado enhielado;958;
Pacífico;Peces;PezOseo;Macrodon mordax;Pelada amarilladentona cagona;Eviscerado fresco;145;
Pacífico;Peces;PezOseo;Macrodon mordax;Pelada amarilladentona cagona;Eviscerado sin gónada;88;
Pacífico;Peces;PezOseo;Makaira spp.;Marlin blanco;Entero fresco;1;
Pacífico;Peces;PezOseo;Megalops atlanticus;Sábalo;Eviscerado;11;
Pacífico;Peces;PezOseo;Megalops atlanticus;Sábalo;Eviscerado enhielado;1;
Pacífico;Moluscos;Caracol;Melongena patula;Caracol pateburro;Carne;127;
Pacífico;Moluscos;Caracol;Melongena patula;Caracol pateburro;Entero;1000;
Pacífico;Moluscos;Caracol;Melongena patula;Caracol pateburro;Entero fresco;61;
Pacífico;Moluscos;Caracol;Melongena patula;Caracol pateburro;Eviscerado sin gónada;1;
Pacífico;Peces;PezOseo;Menticirrhus nasus;Botellona;Entero;40;
Pacífico;Peces;PezOseo;Menticirrhus nasus;Botellona;Entero enhielado;2;
Pacífico;Peces;PezOseo;Menticirrhus nasus;Botellona;Entero fresco;9;
Pacífico;Peces;PezOseo;Menticirrhus nasus;Botellona;Eviscerado;5;
Pacífico;Peces;PezOseo;Menticirrhus nasus;Botellona;Eviscerado enhielado;7;
Pacífico;Peces;PezOseo;Menticirrhus nasus;Botellona;Eviscerado fresco;10;
Pacífico;Peces;PezOseo;Menticirrhus panamensis;Botellona;Entero;125;
Pacífico;Peces;PezOseo;Menticirrhus panamensis;Botellona;Eviscerado;118;
Pacífico;Peces;PezOseo;Menticirrhus panamensis;Botellona;Eviscerado enhielado;9;
Pacífico;Peces;PezOseo;Menticirrhus panamensis;Botellona;Eviscerado fresco;12;
Pacífico;Peces;PezOseo;Menticirrhus spp.;Coroncoros;Entero;112;
Pacífico;Peces;PezOseo;Menticirrhus spp.;Coroncoros;Entero enhielado;3;
Pacífico;Peces;PezOseo;Menticirrhus spp.;Coroncoros;Entero fresco;42;
Pacífico;Peces;PezOseo;Menticirrhus spp.;Coroncoros;Eviscerado;160;
Pacífico;Peces;PezOseo;Menticirrhus spp.;Coroncoros;Eviscerado enhielado;38;
Pacífico;Peces;PezOseo;Menticirrhus spp.;Coroncoros;Eviscerado fresco;19;
Pacífico;Peces;PezOseo;Menticirrhus spp.;Coroncoros;Eviscerado sin gónada;19;
Pacífico;Peces;PezOseo;Microspathodon bairdii;Tilapia de mar;Eviscerado enhielado;1;
Pacífico;Peces;PezOseo;Mugil cephalus;Lisa rayada;Entero;1242;
Pacífico;Peces;PezOseo;Mugil cephalus;Lisa rayada;Entero congelado;1;
Pacífico;Peces;PezOseo;Mugil cephalus;Lisa rayada;Entero enhielado;104;
Pacífico;Peces;PezOseo;Mugil cephalus;Lisa rayada;Entero fresco;341;
Pacífico;Peces;PezOseo;Mugil cephalus;Lisa rayada;Eviscerado;1047;
Pacífico;Peces;PezOseo;Mugil cephalus;Lisa rayada;Eviscerado enhielado;7;
Pacífico;Peces;PezOseo;Mugil cephalus;Lisa rayada;Eviscerado fresco;2;
Pacífico;Peces;PezOseo;Mugil cephalus;Lisa rayada;Eviscerado sin gónada;23;
Pacífico;Peces;PezOseo;Mugil cephalus;Lisa rayada;Salpreso;2;
Pacífico;Peces;PezOseo;Mugil cephalus;Lisa rayada;Seco salado;1;
Pacífico;Peces;PezOseo;Mycteroperca xenarcha;Chame;Eviscerado;22;
Pacífico;Peces;PezOseo;Mycteroperca xenarcha;Chame;Eviscerado enhielado;3;
Pacífico;Peces;PezOseo;Mycteroperca xenarcha;Chame;Eviscerado sin gónada;2;
Pacífico;Moluscos;Caracol;Natica unifasciata;Bulgado;Carne;51;
Pacífico;Moluscos;Caracol;Natica unifasciata;Bulgado;Entero fresco;2;
Pacífico;Peces;PezOseo;Nebris occidentalis;Bocon;Entero;339;
Pacífico;Peces;PezOseo;Nebris occidentalis;Bocon;Eviscerado;129;
Pacífico;Peces;PezOseo;Nebris occidentalis;Bocon;Eviscerado enhielado;31;
Pacífico;Peces;PezOseo;Nebris occidentalis;Bocon;Eviscerado fresco;66;
Pacífico;Peces;PezOseo;Nematistius pectoralis;Pejegallo;Eviscerado;12;
Pacífico;Peces;PezOseo;Notarius spp.;Ñato;Entero;8;
Pacífico;Peces;PezOseo;Notarius spp.;Ñato;Eviscerado;18;
Pacífico;Peces;PezOseo;Notarius spp.;Ñato;Eviscerado enhielado;3;
Pacífico;Peces;PezOseo;Notarius troschelii;Ñato;Ahumado;1;
Pacífico;Peces;PezOseo;Notarius troschelii;Ñato;Descabezado;2;
Pacífico;Peces;PezOseo;Notarius troschelii;Ñato;Entero;2108;
Pacífico;Peces;PezOseo;Notarius troschelii;Ñato;Entero enhielado;115;
Pacífico;Peces;PezOseo;Notarius troschelii;Ñato;Entero fresco;398;
Pacífico;Peces;PezOseo;Notarius troschelii;Ñato;Eviscerado;1467;
Pacífico;Peces;PezOseo;Notarius troschelii;Ñato;Eviscerado enhielado;985;
Pacífico;Peces;PezOseo;Notarius troschelii;Ñato;Eviscerado fresco;671;
Pacífico;Peces;PezOseo;Notarius troschelii;Ñato;Eviscerado sin gónada;43;
Pacífico;Peces;PezOseo;Notarius troschelii;Ñato;Salpreso;36;
Pacífico;Peces;PezOseo;Notarius troschelii;Ñato;Seco salado;17;
Pacífico;Peces;PezOseo;Oligoplites altus;Rascapalo amarillo;Entero;16;
Pacífico;Peces;PezOseo;Oligoplites altus;Rascapalo amarillo;Entero enhielado;25;
Pacífico;Peces;PezOseo;Oligoplites altus;Rascapalo amarillo;Entero fresco;28;
Pacífico;Peces;PezOseo;Oligoplites altus;Rascapalo amarillo;Seco salado;1;
Pacífico;Peces;PezOseo;Oligoplites refulgens;Chachajo;Entero;5;
Pacífico;Peces;PezOseo;Oligoplites refulgens;Chachajo;Entero fresco;1;
Pacífico;Peces;PezOseo;Oligoplites saurus inornatus;Rascapalo;Entero;46;
Pacífico;Peces;PezOseo;Oligoplites saurus inornatus;Rascapalo;Entero enhielado;1;
Pacífico;Peces;PezOseo;Oligoplites saurus inornatus;Rascapalo;Entero fresco;2;
Pacífico;Peces;PezOseo;Oligoplites saurus inornatus;Rascapalo;Eviscerado;1;
Pacífico;Peces;PezOseo;Oligoplites spp.;Rascapalo;Entero;16;
Pacífico;Peces;PezOseo;Oligoplites spp.;Rascapalo;Entero enhielado;9;
Pacífico;Peces;PezOseo;Oligoplites spp.;Rascapalo;Entero fresco;29;
Pacífico;Peces;PezOseo;Oligoplites spp.;Rascapalo;Eviscerado;16;
Pacífico;Peces;PezOseo;Opisthonema medirastre;Plumuda;Entero;13;
Pacífico;Peces;PezOseo;Opisthonema medirastre;Plumuda;Entero fresco;1;
Pacífico;Peces;PezOseo;Opisthonema spp.;Plumuda;Entero;22;
Pacífico;Peces;PezOseo;Opisthonema spp.;Plumuda;Entero enhielado;3;
Pacífico;Peces;PezOseo;Opisthonema spp.;Plumuda;Eviscerado;2;
Pacífico;Peces;PezOseo;Orthopristis chalcea;Veranera rayada;Entero;2;
Pacífico;Peces;PezOseo;Otros grueso;Otros;Entero;641;
Pacífico;Peces;PezOseo;Otros grueso;Otros;Entero enhielado;36;
Pacífico;Peces;PezOseo;Otros grueso;Otros;Eviscerado;3;
Pacífico;Peces;PezOseo;Otros grueso;Otros;Eviscerado enhielado;4;
Pacífico;Peces;PezOseo;Otros menudo;Otros menudo;Entero;1113;
Pacífico;Peces;PezOseo;Otros menudo;Otros menudo;Entero enhielado;606;
Pacífico;Peces;PezOseo;Otros menudo;Otros menudo;Entero fresco;122;
Pacífico;Peces;PezOseo;Otros menudo;Otros menudo;Eviscerado;8;
Pacífico;Peces;PezOseo;Otros menudo;Otros menudo;Eviscerado sin gónada;1;
Pacífico;Peces;PezOseo;Otros pescadilla;Otros pescadilla;Entero;650;
Pacífico;Peces;PezOseo;Otros pescadilla;Otros pescadilla;Entero enhielado;132;
Pacífico;Peces;PezOseo;Otros pescadilla;Otros pescadilla;Entero fresco;542;
Pacífico;Peces;PezOseo;Otros pescadilla;Otros pescadilla;Eviscerado;54;
Pacífico;Peces;PezOseo;Otros pescadilla;Otros pescadilla;Eviscerado enhielado;3;
Pacífico;Peces;PezOseo;Otros pescadilla;Otros pescadilla;Eviscerado sin gónada;3;
Pacífico;Crustáceos;Langosta;Panulirus gracilis;Langosta pacifico;Entero;332;
Pacífico;Crustáceos;Langosta;Panulirus gracilis;Langosta pacifico;Entero enhielado;144;
Pacífico;Crustáceos;Langosta;Panulirus gracilis;Langosta pacifico;Entero fresco;88;
Pacífico;Peces;PezOseo;Paralonchurus dumerilii;Siete presas;Entero;278;
Pacífico;Peces;PezOseo;Paralonchurus dumerilii;Siete presas;Entero enhielado;7;
Pacífico;Peces;PezOseo;Paralonchurus dumerilii;Siete presas;Entero fresco;14;
Pacífico;Peces;PezOseo;Paralonchurus dumerilii;Siete presas;Eviscerado;25;
Pacífico;Peces;PezOseo;Paralonchurus dumerilii;Siete presas;Eviscerado enhielado;5;
Pacífico;Peces;PezOseo;Paralonchurus dumerilii;Siete presas;Eviscerado fresco;1;
Pacífico;Peces;PezOseo;Parapsettus panamensis;Palma;Entero;63;
Pacífico;Peces;PezOseo;Parapsettus panamensis;Palma;Entero enhielado;5;
Pacífico;Peces;PezOseo;Parapsettus panamensis;Palma;Entero fresco;1;
Pacífico;Peces;PezOseo;Parapsettus panamensis;Palma;Eviscerado;20;
Pacífico;Peces;PezOseo;Parapsettus panamensis;Palma;Eviscerado enhielado;23;
Pacífico;Peces;PezOseo;Parapsettus panamensis;Palma;Eviscerado fresco;5;
Pacífico;Peces;PezOseo;Paraselene orstedii;Espejuelo redondo;Entero;2;
Pacífico;Peces;PezOseo;Paraselene orstedii;Espejuelo redondo;Eviscerado;1;
Pacífico;Crustáceos;Camaron;Penaeus californiensis;Camarón café;Colas;2;
Pacífico;Crustáceos;Camaron;Penaeus occidentalis;Camarón blanco;Cola enhielada;76;
Pacífico;Crustáceos;Camaron;Penaeus occidentalis;Camarón blanco;Colas;7336;
Pacífico;Crustáceos;Camaron;Penaeus occidentalis;Camarón blanco;Colas congeladas;1;
Pacífico;Crustáceos;Camaron;Penaeus occidentalis;Camarón blanco;Descabezado;1;
Pacífico;Crustáceos;Camaron;Penaeus occidentalis;Camarón blanco;Entero;111;
Pacífico;Crustáceos;Camaron;Penaeus occidentalis;Camarón blanco;Entero enhielado;5;
Pacífico;Crustáceos;Camaron;Penaeus occidentalis;Camarón blanco;Entero fresco;38;
Pacífico;Crustáceos;Camaron;Penaeus occidentalis;Camarón blanco;Eviscerado sin gónada;1;
Pacífico;Peces;PezOseo;Peprilus medius;Manteco;Entero;12;
Pacífico;Peces;PezOseo;Peprilus medius;Manteco;Entero fresco;1;
Pacífico;Peces;PezOseo;Peprilus snyderi;Manteco;Entero;1;
Pacífico;Peces;PezOseo;Peprilus spp.;Manteco;Entero;236;
Pacífico;Peces;PezOseo;Peprilus spp.;Manteco;Entero enhielado;7;
Pacífico;Peces;PezOseo;Peprilus spp.;Manteco;Entero fresco;1;
Pacífico;Peces;PezOseo;Peprilus spp.;Manteco;Eviscerado;24;
Pacífico;Moluscos;Bivalvo;Perna viridis;Cholga;Carne;9;
Pacífico;Peces;PezOseo;Piaractus brachypomus;Cachama blanca;Entero;1;
Pacífico;Peces;PezOseo;Piaractus brachypomus;Cachama blanca;Entero fresco;2;
Pacífico;Peces;PezOseo;Piaractus brachypomus;Cachama blanca;Eviscerado fresco;1;
Pacífico;Peces;PezOseo;Polydactylus approximans;Barbeta blanca;Entero;227;
Pacífico;Peces;PezOseo;Polydactylus approximans;Barbeta blanca;Entero enhielado;85;
