SITIODESEMBARCO_ESPECIE_CAT;Cuartil_inf_Precio_Esp_Cat_Hist;Cuartil_sup_Precio_Esp_Cat_Hist
Marriaga_Lutjanus analis_Revuelto;10500;19500
Marriaga_Bagre bagre_Mediano;7000;7000
Puerto Cabuyaro_Zungaro zungaro_Revuelto;15000;19000
Puerto Cabuyaro_Pinirampus pirinampu_Revuelto;12000;17000
Puerto Cabuyaro_Pseudoplatystoma orinocoense_Revuelto;15000;19000
Puerto Cabuyaro_Pimelodus blochii_Revuelto;8000;9000
Puerto Cabuyaro_Prochilodus mariae_Revuelto;5400;11200
Puerto Cabuyaro_Brachyplatystoma platynemum_Revuelto;15000;19000
Puerto del Pescado (San José Del Guaviare)_Leiarius marmoratus_Grande;6000;14000
Puerto del Pescado (San José Del Guaviare)_Ageneiosus inermis_Grande;6000;13000
Puerto del Pescado (San José Del Guaviare)_Hypophthalmus edentatus_Grande;5700;13000
Puerto del Pescado (San José Del Guaviare)_Pimelodus blochii_Grande;6000;8400
Puerto del Pescado (San José Del Guaviare)_Pinirampus pirinampu_Grande;7000;13000
Puerto del Pescado (San José Del Guaviare)_Mylossoma aureum_Grande;6000;7000
Milagros de la Mar_Mugil cephalus_Revuelto;4200;5000
Milagros de la Mar_Centropomus armatus_Grande;13000;13000
Milagros de la Mar_Otros menudo_Revuelto;4000;5000
Milagros de la Mar_Brotula clarkae_Grande;20000;20000
Milagros de la Mar_Umbrina bussingi_Revuelto;4000;6000
Milagros de la Mar_Pontinus sierra_Revuelto;1500;1850
Milagros de la Mar_Lepophidium negropinna_Revuelto;1500;2250
Puerto el Waffe continental_Prochilodus magdalenae_Revuelto;4000;7000
Puerto el Waffe continental_Megaleporinus muyscorum_Revuelto;4000;4000
Puerto el Waffe continental_Hoplias malabaricus_Revuelto;4000;7000
Muelles del Camarón_Centropomus medius_Grande;8600;10800
Muelles del Camarón_Centropomus armatus_Mediano;8000;9875
Muelles del Camarón_Larimus effulgens_Mediano;7000;7000
Muelles del Camarón_Macrodon mordax_Mediano;7000;7000
Muelles del Camarón_Paralonchurus dumerilii_Mediano;7000;7000
Muelles del Camarón_Scomberomorus sierra_Mediano;7000;8575
Muelles del Camarón_Scomberomorus sierra_Pequeño;1500;4000
Muelles del Camarón_Haemulopsis elongatus_Mediano;7000;7000
Muelles del Camarón_Diapterus brevirostris_Mediano;3500;3500
Muelles del Camarón_Otros pescadilla_Pescado menudo;1925;3575
Desembarcadero (Murindó)_Prochilodus magdalenae_Revuelto;10000;10000
El Puerto (Puerto Carreño)_Ageneiosus inermis_Varios tamaños;2000;7000
El Puerto (Puerto Carreño)_Brachyplatystoma vaillantii_Varios tamaños;4000;7000
Muelles del Camarón_Centropomus armatus_Pequeño;4125;7000
Muelles del Camarón_Sphyraena ensis_Mediano;6400;10000
El Puerto (Puerto Carreño)_Prochilodus mariae_Varios tamaños;3000;6000
El Puerto (Puerto Carreño)_Mylossoma albiscopum_Varios tamaños;3750;7250
El Puerto (Puerto Carreño)_Pseudoplatystoma metaense_Grande;9000;14500
El Puerto (Puerto Carreño)_Pellona castelnaeana_Varios tamaños;3000;6950
El Puerto (Puerto Carreño)_Plagioscion squamosissimus_Varios tamaños;4000;7850
El Puerto (Puerto Carreño)_Pseudoplatystoma metaense_Mediano;8000;12500
El Puerto (Puerto Carreño)_Brachyplatystoma platynemum_Mediano;7000;12375
El Puerto (Puerto Carreño)_Pinirampus pirinampu_Varios tamaños;4000;7000
El Puerto (Puerto Carreño)_Phractocephalus hemioliopterus_Varios tamaños;3000;6225
El Puerto (Puerto Carreño)_Pseudoplatystoma orinocoense_Grande;12000;14500
El Puerto (Puerto Carreño)_Prochilodus mariae_Pequeño;2150;5700
El Puerto (Puerto Carreño)_Prochilodus mariae_Grande;3375;4250
El Puerto (Puerto Carreño)_Zungaro zungaro_Grande;7000;11000
El Puerto (Puerto Carreño)_Pseudoplatystoma orinocoense_Mediano;9000;12500
El Puerto (Puerto Carreño)_Brycon amazonicus_Varios tamaños;4000;7400
El Puerto (Puerto Carreño)_Schizodon scotorhabdotus_Varios tamaños;3000;5000
El Puerto (Puerto Carreño)_Hydrolycus armatus_Pequeño;2000;5000
El Puerto (Puerto Carreño)_Zungaro zungaro_Pequeño;5500;8000
El Puerto (Puerto Carreño)_Brachyplatystoma rousseauxii_Grande;9000;15000
El Puerto (Puerto Carreño)_Brachyplatystoma filamentosum_Grande;7000;13000
El Puerto (Puerto Carreño)_Brachyplatystoma platynemum_Grande;8000;14000
El Puerto (Puerto Carreño)_Pseudoplatystoma metaense_Pequeño;5000;9000
El Puerto (Puerto Carreño)_Pseudoplatystoma orinocoense_Pequeño;5000;9000
El Puerto (Puerto Carreño)_Phractocephalus hemioliopterus_Pequeño;3450;6500
El Puerto (Puerto Carreño)_Mylossoma albiscopum_Pequeño;1750;6000
El Puerto (Puerto Carreño)_Pellona castelnaeana_Pequeño;5000;6000
El Puerto (Puerto Carreño)_Brycon amazonicus_Pequeño;4000;5850
El Puerto (Puerto Carreño)_Brachyplatystoma filamentosum_Pequeño;5050;5950
El Puerto (Puerto Carreño)_Brachyplatystoma rousseauxii_Mediano;10000;12475
El Puerto (Puerto Carreño)_Phractocephalus hemioliopterus_Grande;4000;7000
El Puerto (Puerto Carreño)_Brachyplatystoma platynemum_Pequeño;5000;8000
El Puerto (Puerto Carreño)_Semaprochilodus laticeps_Grande;5000;8000
Puerto del Pescado (San José Del Guaviare)_Piaractus orinoquensis_Grande;14000;17000
La Tagua_Pinirampus pirinampu_Pequeño;8000;10000
La Tagua_Hemisorubim platyrhynchos_Pequeño;10000;10000
La Tagua_Platynematichthys notatus_Pequeño;8000;10000
La Tagua_Ageneiosus inermis_Pequeño;8000;10000
La Tagua_Prochilodus nigricans_Mediano;12000;12000
La Tagua_Hydrolycus armatus_Pequeño;6600;10000
La Tagua_Pseudoplatystoma punctifer_Mediano;12000;14000
La Tagua_Brachyplatystoma filamentosum_Grande;14850;15150
La Tagua_Prochilodus nigricans_Pequeño;5000;10000
La Tagua_Calophysus macropterus_Pequeño;4000;9100
La Tagua_Pimelodus ornatus_Pequeño;10000;10000
Marriaga_Lutjanus analis_Pequeño;10000;10000
Marriaga_Hypostomus hondae_Revuelto;2000;2000
Marriaga_Ageneiosus pardalis_Revuelto;12000;12000
La Tagua_Sorubim lima_Pequeño;7400;10000
Marriaga_Ageneiosus pardalis_Pequeño;6775;12000
Marriaga_Centropomus ensiferus_Pequeño;10000;10000
Bazán_Scomberomorus sierra_Grande;8000;11000
Bazán_Cynoscion albus_Grande;22000;24000
Bazán_Bagre pinnimaculatus_Grande;7000;8000
Bazán_Cynoscion phoxocephalus_Grande;15000;15000
Bazán_Sciades dowii_Grande;8000;8000
Bazán_Lobotes pacifica_Grande;12000;14000
Bazán_Lutjanus peru_Grande;16000;17000
Bazán_Scomberomorus sierra_Pequeño;6000;10000
La Punta - Firme Cifuentes_Larimus effulgens_Revuelto;5000;5000
La Punta - Firme Cifuentes_Selene peruviana_Revuelto;5000;5000
Bazán_Hoplopagrus guentherii_Grande;7000;19750
Bazán_Hyporthodus acanthistius_Grande;12000;13000
Bazán_Hyporthodus acanthistius_Pequeño;3500;8000
Bazán_Brotula clarkae_Grande;20000;20000
Bazán_Brotula clarkae_Pequeño;5000;7000
La Casa del Pescador_Tylosurus fodiator_Grande;2000;3000
La Casa del Pescador_Scomberomorus sierra_Mediano;6000;7000
La Casa del Pescador_Scomberomorus sierra_Grande;10000;12000
La Casa del Pescador_Lutjanus guttatus_Pequeño;10000;12000
La Casa del Pescador_Cynoscion phoxocephalus_Pequeño;10000;11000
La Casa del Pescador_Scomberomorus sierra_Pequeño;2000;3000
La Casa del Pescador_Sphyraena ensis_Grande;10000;11000
La Casa del Pescador_Cynoscion phoxocephalus_Grande;15000;16000
La Casa del Pescador_Callinectes spp._Revuelto;25000;25000
La Casa del Pescador_Lutjanus guttatus_Platero (para pargos);25000;28000
La Casa del Pescador_Lutjanus guttatus_Mediano;20000;22000
Puerto Rico [Meta]_Zungaro zungaro_Revuelto;16000;16000
Puerto Rico [Meta]_Hydrolycus armatus_Revuelto;6000;8000
Puerto Rico [Meta]_Brachyplatystoma vaillantii_Revuelto;10000;12000
Puerto Rico [Meta]_Pseudoplatystoma orinocoense_Revuelto;12000;16000
Puerto Rico [Meta]_Pellona castelnaeana_Revuelto;6000;6000
Puerto Rico [Meta]_Pinirampus pirinampu_Revuelto;9000;12000
Puerto Rico [Meta]_Ageneiosus inermis_Revuelto;10000;12000
Puerto Rico [Meta]_Sorubim lima_Revuelto;5000;5000
Puerto Rico [Meta]_Colossoma macropomum_Revuelto;12200;15800
Puerto Rico [Meta]_Brachyplatystoma rousseauxii_Revuelto;20000;20000
Puerto Rico [Meta]_Plagioscion squamosissimus_Revuelto;6000;6000
Puerto Rico [Meta]_Pimelodus blochii_Revuelto;6000;7000
Puerto Kenedy_Prochilodus magdalenae_Revuelto;2800;6400
Puerto Kenedy_Megaleporinus muyscorum_Revuelto;4500;9000
Puerto Kenedy_Ageneiosus pardalis_Revuelto;15000;15000
Puerto Kenedy_Brycon moorei_Revuelto;10000;10000
Puerto Kenedy_Colossoma macropomum_Mediano;20000;20000
Puerto Kenedy_Pimelodus punctatus_Revuelto;6000;6000
Puerto Rico [Meta]_Piaractus orinoquensis_Revuelto;14000;16000
Puerto Barrio El Progreso_Pimelodus yuma_Revuelto;4000;6000
Puerto Barrio El Progreso_Brycon moorei_Revuelto;8550;13450
Puerto Barrio El Progreso_Oreochromis niloticus_Revuelto;5000;8000
Tagachí_Prochilodus magdalenae_Varios tamaños;400;1200
Tagachí_Megaleporinus muyscorum_Varios tamaños;400;975
Tagachí_Ageneiosus pardalis_Pequeño;14000;14000
Tagachí_Megaleporinus muyscorum_Pequeño;1200;1600
La Isla de los Palacios_Megaleporinus muyscorum_Revuelto;3000;3000
La Isla de los Palacios_Prochilodus magdalenae_Revuelto;1200;1800
La Isla de los Palacios_Ageneiosus pardalis_Revuelto;8000;9000
La Isla de los Palacios_Dasyloricaria latuira_Revuelto;810;900
Milagros de la Mar_Scomberomorus sierra_Grande;13000;13000
La Isla de los Palacios_Megaleporinus muyscorum_Mediano;3000;3000
Puerto Barrio El Progreso_Triportheus magdalenae_Revuelto;3000;5000
La Isla de los Palacios_Sturisomatichthys panamensis_Mediano;900;900
Chamuscado - Naya_Notarius troschelii_Mediano;10000;10000
Chamuscado - Naya_Cynoscion albus_Mediano;17000;17000
Chamuscado - Naya_Ariopsis seemanni_Pequeño;3500;4000
Chamuscado - Naya_Centropomus armatus_Grande;13000;13000
Chamuscado - Naya_Notarius troschelii_Grande;10000;10000
Chamuscado - Naya_Genyatremus pacifici_Mediano;5000;5000
Puerto Rico [Meta]_Sorubimichthys planiceps_Revuelto;12000;14000
Cooperativas - Pueblo Nuevo_Centropomus armatus_Grande;17800;20000
Cooperativas - Pueblo Nuevo_Otros pescadilla_Pequeño;6725;8500
Cooperativas - Pueblo Nuevo_Seriola rivoliana_Grande;8150;11700
Cooperativas - Pueblo Nuevo_Lutjanus novemfasciatus_Grande;10000;16000
Cooperativas - Pueblo Nuevo_Lutjanus argentiventris_Grande;10000;16200
Cooperativas - Pueblo Nuevo_Lobotes pacifica_Grande;10000;15000
Chamuscado - Naya_Sciades dowii_Grande;10000;10000
Chamuscado - Naya_Larimus argenteus_Mediano;5000;7000
Plaza de mercado (La Dorada)_Brycon moorei_Revuelto;13730;24000
Plaza de mercado (La Dorada)_Pseudoplatystoma magdaleniatum_Revuelto;16950;25050
Plaza de mercado (La Dorada)_Pseudoplatystoma magdaleniatum_Grande;18000;24000
Plaza de mercado (La Dorada)_Pimelodus yuma_Grande;8000;17520
Chamuscado - Naya_Lutjanus novemfasciatus_Mediano;13000;13000
Chamuscado - Naya_Lutjanus jordani_Mediano;13000;13000
Chamuscado - Naya_Diapterus brevirostris_Pequeño;3500;4000
Chamuscado - Naya_Mugil cephalus_Mediano;3500;3500
Chamuscado - Naya_Centropomus armatus_Pequeño;3500;3750
Chamuscado - Naya_Centropomus armatus_Mediano;13000;13000
Chamuscado - Naya_Diapterus brevirostris_Mediano;5000;7000
Chamuscado - Naya_Bagre pinnimaculatus_Grande;9000;9425
Cooperativas - Pueblo Nuevo_Hyporthodus niphobles_Grande;17000;18000
Cooperativas - Pueblo Nuevo_Centropomus medius_Grande;13000;16000
Cooperativas - Pueblo Nuevo_Sciades dowii_Grande;9000;14000
Cooperativas - Pueblo Nuevo_Epinephelus quinquefasciatus_Grande;9400;21200
Cooperativas - Pueblo Nuevo_Aluterus monoceros_Grande;3225;3500
Cooperativas - Pueblo Nuevo_Macrodon mordax_Grande;9000;9500
Plaza de mercado (La Dorada)_Salminus affinis_Revuelto;8780;20420
Puerto (Arauquita)_Mylossoma albiscopum_Revuelto;5000;7000
Puerto (Arauquita)_Pseudoplatystoma metaense_Revuelto;14000;19000
Puerto (Arauquita)_Prochilodus mariae_Revuelto;8000;9000
Puerto (Arauquita)_Pseudoplatystoma orinocoense_Revuelto;14000;19000
Distribuidoras de Tumaco_Brotula clarkae_Grande;20000;28000
Distribuidoras de Tumaco_Brotula clarkae_Pequeño;9000;10000
Distribuidoras de Tumaco_Scomberomorus sierra_Grande;11000;13000
Distribuidoras de Tumaco_Lutjanus peru_Grande;15000;17000
