SITIODESEMBARCO_ESPECIE_CAT;Cuartil_inf_Precio_Esp_Cat_Hist;Cuartil_sup_Precio_Esp_Cat_Hist
Quiroga_Anadara tuberculosa_Grande;20000;45000
Limones_Cynoscion phoxocephalus_Grande;12000;12000
Limones_Centropomus armatus_Grande;12000;12000
Limones_Notarius troschelii_Grande;4000;4000
Limones_Cynoscion albus_Grande;17000;17000
Punta Bonita_Scomberomorus sierra_Grande;13350;16000
Punta Bonita_Tylosurus fodiator_Grande;4600;7000
Punta Bonita_Thunnus albacares_Grande;4000;7000
Punta Bonita_Selene brevoortii_Grande;6050;6950
La Casa del Pescador_Lobotes pacifica_Grande;12300;17700
La Casa del Pescador_Macrodon mordax_Pequeño;10000;11000
La Casa del Pescador_Caranx caballus_Pequeño;5900;8000
La Casa del Pescador_Peprilus medius_Pequeño;6000;6000
La Casa del Pescador_Polydactylus approximans_Pequeño;5400;7000
El Muelle (Puerto López)_Brachyplatystoma filamentosum_Revuelto;18050;18950
Curillo_Leiarius marmoratus_Mediano;20000;20000
Curillo_Ageneiosus inermis_Mediano;14000;14000
Curillo_Hemisorubim platyrhynchos_Mediano;14000;14000
Curillo_Plagioscion squamosissimus_Mediano;14000;14000
Puerto de desembarco (Mitú)_Serrasalmus rhombeus_Mediano;20000;20000
Puerto de desembarco (Mitú)_Myloplus asterias_Mediano;20000;20000
Puerto de desembarco (Mitú)_Serrasalmus manueli_Mediano;20000;20000
Puerto de desembarco (Mitú)_Leporinus fasciatus_Mediano;20000;20000
El Puerto (Puerto Carreño)_Cynodon gibbus_Varios tamaños;2000;2000
Curillo_Phractocephalus hemioliopterus_Mediano;18000;18400
Comercializadores independientes (Guapi)_Centropomus medius_Revuelto;11750;17000
Comercializadores independientes (Guapi)_Sciades dowii_Revuelto;8200;11800
Comercializadores independientes (Guapi)_Caranx caninus_Revuelto;6000;6000
Comercializadores independientes (Guapi)_Lobotes pacifica_Ranfaña;8000;8000
Comercializadores independientes (Guapi)_Centropomus armatus_Revuelto;17000;17000
El Puerto (Puerto Carreño)_Rhaphiodon vulpinus_Varios tamaños;1600;3000
Pesqueras - Pueblo Nuevo_Notarius troschelii_Grande;5000;6000
Pesqueras - Pueblo Nuevo_Lutjanus peru_Grande;13000;14000
Pesqueras - Pueblo Nuevo_Lutjanus novemfasciatus_Grande;13000;14000
Pesqueras - Pueblo Nuevo_Caranx caninus_Grande;4000;5000
Pesqueras - Pueblo Nuevo_Notarius troschelii_Pequeño;3000;3000
Pesqueras - Pueblo Nuevo_Epinephelus quinquefasciatus_Pequeño;6000;8000
Paujil_Anodus orinocensis_Revuelto;3700;6700
Pesqueras - Pueblo Nuevo_Cynoscion albus_Ranfaña;5000;10000
La Rampa (Barrancabermeja)_Prochilodus magdalenae_Revuelto;3640;9400
La Rampa (Barrancabermeja)_Prochilodus magdalenae_Pequeño;3200;7000
Río San Miguel_Brycon hilarii_Revuelto;14000;16000
La Tagua_Piaractus brachypomus_Grande;15000;15000
La Tagua_Plagioscion squamosissimus_Pequeño;7800;10000
Puerto Serviez_Pseudoplatystoma magdaleniatum_Pequeño;12850;18900
Puerto Serviez_Pimelodus grosskopfii_Mediano;6060;18000
Marriaga_Hypostomus hondae_Pequeño;2000;2000
Marriaga_Dasyloricaria latuira_Pequeño;2000;2000
Marriaga_Dasyloricaria latuira_Revuelto;2000;2000
Aparca_Hypostomus oculeus_Revuelto;16000;16000
Aparca_Brycon falcatus_Revuelto;12000;14200
Aparca_Ageneiosus inermis_Revuelto;16000;16000
Desembarcadero (Murindó)_Hoplias malabaricus_Revuelto;4000;4000
Paujil_Colossoma macropomum_Revuelto;3600;6790
Paujil_Oxydoras sifontesi_Revuelto;3600;6700
El Piñal_Genyatremus pacifici_Revuelto;9000;9000
El Puerto (Tumaco)_Natica unifasciata_Revuelto;14500;30000
El Puerto (Tumaco)_Callinectes spp._Revuelto;24000;38000
El Puerto (Tumaco)_Lobotes pacifica_Pequeño;4300;8000
El Puerto (Tumaco)_Centropomus armatus_Grande;11000;16000
El Puerto (Tumaco)_Sphyraena ensis_Grande;8000;12750
El Puerto (Tumaco)_Thunnus albacares_Grande;4000;8000
El Puerto (Tumaco)_Kyphosus ocyurus_Grande;8000;8000
Puerto del Pescado (San José Del Guaviare)_Pseudoplatystoma metaense_Pequeño;10000;14000
Puerto del Pescado (San José Del Guaviare)_Pseudoplatystoma orinocoense_Pequeño;10400;14000
Puerto del Pescado (San José Del Guaviare)_Brachyplatystoma platynemum_Grande;12000;19950
Chamuscado - Naya_Cynoscion albus_Grande;17000;17000
Chamuscado - Naya_Centropomus medius_Mediano;13000;13000
Chamuscado - Naya_Anadara spp._Grande;3000;3000
Chamuscado - Naya_Anadara spp._Mediano;6000;6000
Muelle Principal (Puerto Leguízamo)_Piaractus brachypomus_Revuelto;15350;17650
Puerto de desembarco (Mitú)_Hoplarchus psittacus_Pequeño;10500;19500
Miramar - Bahía Málaga_Lutjanus argentiventris_Varios tamaños;14000;14000
Miramar - Bahía Málaga_Mugil cephalus_Varios tamaños;7000;8000
Miramar - Bahía Málaga_Haemulopsis leuciscus_Varios tamaños;5000;6000
Miramar - Bahía Málaga_Centropomus medius_Varios tamaños;12000;12000
Miramar - Bahía Málaga_Caranx sexfasciatus_Varios tamaños;3000;6000
Miramar - Bahía Málaga_Epinephelus quinquefasciatus_Pequeño;8000;8000
Miramar - Bahía Málaga_Lutjanus aratus_Varios tamaños;14000;14000
Miramar - Bahía Málaga_Notarius troschelii_Varios tamaños;4000;4000
Miramar - Bahía Málaga_Caranx caninus_Pequeño;3000;6000
Puerto Serviez_Pimelodus grosskopfii_Pequeño;4000;8000
La Ensenada_Cynoscion squamipinnis_Grande;13550;15000
La Ensenada_Centropomus armatus_Grande;13000;15000
La Ensenada_Cynoscion phoxocephalus_Grande;13500;15000
La Ensenada_Centropomus medius_Grande;15000;15000
La Ensenada_Lutjanus guttatus_Pequeño;7700;15000
La Ensenada_Acanthocybium solandri_Sierrilla G;11000;11000
La Ensenada_Lobotes pacifica_Mediano;6000;6000
Puerto Serviez_Brycon moorei_Grande;14000;19400
Miramar - Bahía Málaga_Ariopsis seemanni_Varios tamaños;5000;6000
Miramar - Bahía Málaga_Cynoscion phoxocephalus_Varios tamaños;10000;18000
Miramar - Bahía Málaga_Haemulon scudderii_Varios tamaños;5000;6000
Miramar - Bahía Málaga_Sciades dowii_Varios tamaños;7000;7000
Puerto de desembarco (Mitú)_Megalechis picta_Pequeño;15000;20000
Puerto de las Canoas (Puerto Berrío)_Panaque cochliodon_Revuelto;6000;8000
Puerto de desembarco (Mitú)_Hypostomus varimaculosus_Mediano;15000;19500
Puerto Triunfo_Sorubim cuspicaudus_Grande;14000;14000
Timbiquí_Scomberomorus sierra_Varios tamaños;7000;9000
Timbiquí_Nebris occidentalis_Varios tamaños;4000;6000
Timbiquí_Notarius troschelii_Varios tamaños;6000;8000
Timbiquí_Bagre pinnimaculatus_Varios tamaños;4000;6000
Timbiquí_Bagre panamensis_Varios tamaños;3000;5000
Timbiquí_Cynoscion phoxocephalus_Varios tamaños;8000;10000
Timbiquí_Centropomus armatus_Varios tamaños;8000;10000
Puerto Bogotá_Pimelodus yuma_Revuelto;3000;7100
Puerto Bogotá_Pseudoplatystoma magdaleniatum_Revuelto;15840;20700
Puerto Bogotá_Pimelodus grosskopfii_Revuelto;10600;15000
Timbiquí_Centropomus medius_Varios tamaños;8000;10000
Timbiquí_Chaetodipterus zonatus_Varios tamaños;6000;8000
Timbiquí_Mugil cephalus_Varios tamaños;4000;6000
Timbiquí_Polydactylus opercularis_Varios tamaños;6000;8000
Timbiquí_Callinectes toxotes_Varios tamaños;6000;6100
Timbiquí_Lobotes pacifica_Varios tamaños;4000;6000
Puerto Bogotá_Prochilodus magdalenae_Revuelto;3450;12740
Timbiquí_Anadara spp._Varios tamaños;4100;5000
Puerto Víctor Peña_Caquetaia kraussii_Revuelto;2000;2000
Timbiquí_Peprilus spp._Varios tamaños;5000;7000
Bazán La Bocana_Lutjanus peru_Grande;18000;18250
Bazán La Bocana_Cynoscion phoxocephalus_Grande;16000;16000
Timbiquí_Lutjanus peru_Varios tamaños;9100;10900
Timbiquí_Menticirrhus spp._Varios tamaños;8000;8900
Bazán La Bocana_Centropomus medius_Grande;10000;12000
Bazán La Bocana_Ariopsis seemanni_Grande;4000;4000
Puerto Rico [Meta]_Pseudoplatystoma orinocoense_Grande;14000;14000
Puerto Rico [Meta]_Pseudoplatystoma orinocoense_Pequeño;10000;12000
Bazán La Bocana_Notarius troschelii_Grande;5000;6000
San Alejandro_Prochilodus magdalenae_Revuelto;800;1400
San Alejandro_Megaleporinus muyscorum_Revuelto;600;1600
Puerto el Waffe continental_Caquetaia kraussii_Revuelto;3000;4000
Puerto el Waffe continental_Ageneiosus pardalis_Revuelto;14200;16000
Milagros de la Mar_Macrodon mordax_Mediano;7000;7000
Galería (Guapi)_Bagre pinnimaculatus_Revuelto;8500;8500
Galería (Guapi)_Centropomus armatus_Revuelto;15000;15000
Galería (Guapi)_Cynoscion albus_Mediano;15000;20000
Galería (Guapi)_Paralonchurus dumerilii_Ranfaña;5000;5000
Galería (Guapi)_Diapterus brevirostris_Ranfaña;5000;5000
Galería (Guapi)_Notarius troschelii_Revuelto;7000;7000
Galería (Guapi)_Larimus acclivis_Ranfaña;5000;5000
Galería (Guapi)_Cynoscion phoxocephalus_Revuelto;15000;15000
Galería (Guapi)_Menticirrhus panamensis_Revuelto;15000;15000
Galería (Guapi)_Scomberomorus sierra_Revuelto;10000;12000
Galería (Guapi)_Callinectes toxotes_Revuelto;15000;25000
Puerto de Gamarra_Pseudoplatystoma magdaleniatum_Revuelto;8100;20000
Puerto de Gamarra_Piaractus brachypomus_Revuelto;6200;9800
La Pedrera_Brycon melanopterus_Pequeño;10000;10000
El Puerto (Puerto Carreño)_Brachyplatystoma juruense_Varios tamaños;5000;5000
El Puerto (Puerto Carreño)_Hypophthalmus edentatus_Varios tamaños;3860;6350
El Puerto (Puerto Carreño)_Platynematichthys notatus_Grande;7100;11600
San José de la Calle_Prochilodus magdalenae_Revuelto;6000;6000
San José de la Calle_Megaleporinus muyscorum_Revuelto;10000;10000
San José de la Calle_Prochilodus magdalenae_Grande;6000;6000
San José de la Calle_Brycon moorei_Grande;14000;14000
San José de la Calle_Ageneiosus pardalis_Mediano;16000;16000
San José de la Calle_Pimelodus punctatus_Revuelto;7000;7000
San José de la Calle_Dasyloricaria latuira_Mediano;6000;6000
San José de la Calle_Megaleporinus muyscorum_Mediano;10000;10000
San José de la Calle_Pimelodus punctatus_Mediano;7000;7000
San José de la Calle_Prochilodus magdalenae_Mediano;6000;6000
Cartagena del Chairá_Platynematichthys notatus_Revuelto;12000;16000
Cartagena del Chairá_Ageneiosus inermis_Revuelto;12000;15000
Galería (Guapi)_Bagre panamensis_Revuelto;2000;2000
Galería (Guapi)_Tylosurus fodiator_Revuelto;5000;10000
Galería (Guapi)_Centropomus medius_Revuelto;15000;15000
Galería (Guapi)_Haemulopsis leuciscus_Ranfaña;5000;5000
Galería (Guapi)_Selene peruviana_Revuelto;5000;5000
Puerto (Arauquita)_Zungaro zungaro_Revuelto;14000;18100
Puerto (Arauquita)_Caquetaia kraussii_Revuelto;6000;6000
San José de la Calle_Hoplias malabaricus_Mediano;8000;8000
La Tagua_Pimelodus blochii_Pequeño;10000;10000
Puerto Serviez_Sorubim cuspicaudus_Grande;10000;16000
Galería (Guapi)_Sciades dowii_Revuelto;7000;7000
Galería (Guapi)_Lutjanus peru_Revuelto;25000;26250
Muelle Principal (Puerto Leguízamo)_Brycon melanopterus_Revuelto;9000;12000
Muelle Principal (Puerto Leguízamo)_Colossoma macropomum_Revuelto;16000;17750
Muelle Principal (Puerto Leguízamo)_Brachyplatystoma filamentosum_Revuelto;14650;16350
La Punta - Firme Cifuentes_Centropomus robalito_Grande;14000;14000
La Punta - Firme Cifuentes_Lobotes pacifica_Grande;8000;10000
Puerto Serviez_Brycon moorei_Revuelto;10000;18000
Puerto (Orocué)_Ageneiosus inermis_Revuelto;10000;12000
Puerto (Orocué)_Pterodoras rivasi_Revuelto;6000;8000
Puerto (Orocué)_Colossoma macropomum_Revuelto;12000;12000
Puerto (Orocué)_Brachyplatystoma platynemum_Revuelto;12000;17000
Puerto de desembarco (Barrancominas)_Prochilodus mariae_Revuelto;3000;5000
Puerto Cabuyaro_Colossoma macropomum_Revuelto;16000;16000
Miramar - Bahía Málaga_Rhencus macracanthus_Varios tamaños;5000;6000
Miramar - Bahía Málaga_Lobotes pacifica_Pequeño;5250;6000
Miramar - Bahía Málaga_Trachinotus kennedyi_Varios tamaños;5050;5950
Puerto de desembarco (Mitú)_Tometes sp. 1_Mediano;20000;20000
Puerto de desembarco (Mitú)_Hoplarchus psittacus_Mediano;15000;20000
La Ensenada_Lobotes pacifica_Extragrande;10150;11000
La Ensenada_Hoplopagrus guentherii_Extragrande;7000;7000
La Ensenada_Lutjanus guttatus_Platero (para pargos);20000;20000
Puerto Cabuyaro_Sorubimichthys planiceps_Pequeño;10200;12000
Puerto Cabuyaro_Prochilodus mariae_Pequeño;4200;7800
Puerto Cabuyaro_Ageneiosus inermis_Revuelto;6000;9000
Puerto Cabuyaro_Hemisorubim platyrhynchos_Revuelto;6000;8000
La Ensenada_Acanthocybium solandri_Grande;11000;11000
La Ensenada_Lutjanus argentiventris_Pequeño;14000;14000
La Ensenada_Lobotes pacifica_Platero (para pargos);11000;11000
La Ensenada_Sciades dowii_Extragrande;7000;7000
La Ensenada_Menticirrhus panamensis_Grande;13700;15000
La Ensenada_Lobotes pacifica_Grande;7500;11000
La Ensenada_Bagre pinnimaculatus_Grande;7000;7000
La Ensenada_Sciades dowii_Grande;5300;7000
La Ensenada_Sphyraena ensis_Grande;10000;10000
Corozal_Notarius troschelii_Varios tamaños;5000;8000
Corozal_Bagre pinnimaculatus_Varios tamaños;4000;9000
Corozal_Centropomus medius_Varios tamaños;8000;9700
Corozal_Cynoscion phoxocephalus_Varios tamaños;8000;18000
Corozal_Scomberomorus sierra_Varios tamaños;7000;10000
Corozal_Lutjanus peru_Varios tamaños;11100;16000
Puerto Cabuyaro_Brachyplatystoma vaillantii_Revuelto;11000;17000
Puerto Cabuyaro_Pseudoplatystoma orinocoense_Pequeño;12000;15400
Puerto Cabuyaro_Duopalatinus peruanus_Revuelto;6000;12200
La Ensenada_Sphyraena ensis_Mediano;10000;10000
La Ensenada_Nebris occidentalis_Grande;15000;15000
Corozal_Centropomus armatus_Varios tamaños;8000;16000
Corozal_Chaetodipterus zonatus_Varios tamaños;4100;5900
La Ensenada_Lutjanus argentiventris_Platero (para pargos);15150;17850
Corozal_Mugil cephalus_Varios tamaños;3000;4000
Corozal_Nebris occidentalis_Varios tamaños;4000;15400
Corozal_Bagre panamensis_Varios tamaños;3000;4600
Corozal_Euthynnus lineatus_Varios tamaños;4000;4000
El Malecón (Neiva)_Kronoheros umbrifer_Revuelto;4000;5000
La Rampa (Barrancabermeja)_Sorubim cuspicaudus_Revuelto;10000;13000
La Rampa (Barrancabermeja)_Pseudoplatystoma magdaleniatum_Grande;14400;20000
Corozal_Lobotes pacifica_Varios tamaños;9000;10000
Muelle Hong Kong_Zungaro zungaro_Revuelto;16000;18000
Muelle Hong Kong_Pseudoplatystoma punctifer_Revuelto;15000;18000
Muelle Hong Kong_Brachyplatystoma filamentosum_Revuelto;18000;18000
Corozal_Caranx caballus_Varios tamaños;4000;4000
Corozal_Polydactylus opercularis_Varios tamaños;5150;6000
Corozal_Lutjanus guttatus_Varios tamaños;9000;9000
Corozal_Peprilus spp._Varios tamaños;4000;4000
Muelle Hong Kong_Pimelodus blochii_Revuelto;5000;6000
Puerto Rico [Meta]_Leiarius marmoratus_Revuelto;12000;14000
Corozal_Callinectes toxotes_Varios tamaños;4000;4900
Corozal_Diapterus brevirostris_Varios tamaños;4000;4000
Muelle La Esmeralda_Brycon melanopterus_Revuelto;5000;6000
Muelle La Esmeralda_Prochilodus rubrotaeniatus_Revuelto;5000;6000
Muelle La Esmeralda_Phractocephalus hemioliopterus_Revuelto;10500;13750
El Muelle (Barrancabermeja)_Brycon moorei_Revuelto;13200;18000
Chacón_Notarius troschelii_Varios tamaños;7000;10000
Buchadó_Prochilodus magdalenae_Revuelto;2000;2000
Buchadó_Megaleporinus muyscorum_Revuelto;3900;5000
Chacón_Scomberomorus sierra_Varios tamaños;7000;8000
Chacón_Cynoscion albus_Varios tamaños;9000;13000
Chacón_Centropomus medius_Varios tamaños;8000;8000
Chacón_Bagre panamensis_Varios tamaños;6000;10000
Chacón_Lutjanus peru_Varios tamaños;9000;13000
Chacón_Cynoscion phoxocephalus_Varios tamaños;9000;13000
Chacón_Mugil cephalus_Varios tamaños;6000;6000
Buchadó_Ageneiosus pardalis_Pequeño;5725;6000
Chacón_Centropomus armatus_Varios tamaños;8900;12100
Chacón_Notarius spp._Varios tamaños;7150;10000
Chacón_Nebris occidentalis_Varios tamaños;6000;8000
Buchadó_Megaleporinus muyscorum_Mediano;4950;5000
Buchadó_Pseudopimelodus sp. 1_Mediano;5700;6000
Buchadó_Hoplias malabaricus_Mediano;6500;6500
Puerto del Pescado (San José Del Guaviare)_Pellona castelnaeana_Grande;4000;10000
La Isla de los Palacios_Sturisomatichthys panamensis_Pequeño;900;900
Las Balsas_Ageneiosus inermis_Revuelto;8450;11100
Las Balsas_Hydrolycus armatus_Revuelto;7500;10000
El Muelle (Puerto López)_Hypophthalmus edentatus_Revuelto;7000;9550
Galería (Guapi)_Cynoscion albus_Revuelto;15000;18000
Punta Bonita_Centropomus armatus_Revuelto;8000;10000
Punta Bonita_Otros pescadilla_Revuelto;7000;7000
Punta Bonita_Genyatremus pacifici_Revuelto;6000;7000
Punta Bonita_Mugil cephalus_Revuelto;6000;7000
Puerto Principal (Leticia)_Plagioscion squamosissimus_Grande;6855;12850
Puerto Principal (Leticia)_Piaractus brachypomus_Grande;10050;19900
Puerto Principal (Leticia)_Potamorhina pristigaster_Revuelto;4760;6200
Puerto Principal (Leticia)_Hoplias malabaricus_Mediano;5910;10880
Puerto Principal (Leticia)_Triportheus angulatus_Revuelto;5700;5700
Puerto Principal (Leticia)_Brachyplatystoma rousseauxii_Grande;14000;22000
Puerto Principal (Leticia)_Pterygoplichthys pardalis_Revuelto;3800;6180
Puerto Principal (Leticia)_Potamorhina pristigaster_Pequeño;4810;6610
Puerto Principal (Leticia)_Mylossoma albiscopum_Pequeño;4520;11000
Puerto Principal (Leticia)_Prochilodus rubrotaeniatus_Pequeño;8300;13150
Puerto Principal (Leticia)_Hypophthalmus edentatus_Revuelto;7265;10235
San Antonio de Padua_Pimelodus punctatus_Revuelto;800;2000
Puerto Principal (Leticia)_Ageneiosus inermis_Revuelto;8125;8575
Puerto Principal (Leticia)_Pygocentrus nattereri_Mediano;8480;13040
Puerto Principal (Leticia)_Osteoglossum bicirrhosum_Pequeño;8100;11275
Puerto Principal (Leticia)_Hoplias malabaricus_Revuelto;6000;8660
Puerto Principal (Leticia)_Sorubim lima_Revuelto;5725;8575
Puerto Principal (Leticia)_Pinirampus pirinampu_Revuelto;7400;7400
Puerto Principal (Leticia)_Psectrogaster amazonica_Pequeño;4310;7730
Puerto Serviez_Piaractus brachypomus_Mediano;6100;7900
Puerto Principal (Leticia)_Semaprochilodus insignis_Grande;7000;13510
Puerto Principal (Leticia)_Psectrogaster amazonica_Revuelto;4900;4900
Puerto Principal (Leticia)_Pellona castelnaeana_Grande;11225;17660
Puerto Principal (Leticia)_Prochilodus rubrotaeniatus_Grande;8000;15300
Puerto Principal (Leticia)_Triportheus angulatus_Pequeño;5530;11270
Puerto Principal (Leticia)_Rhaphiodon vulpinus_Pequeño;4860;9500
Milagros de la Mar_Macrodon mordax_Revuelto;7000;8000
Tagachí_Brycon moorei_Pequeño;16000;16000
Tagachí_Hoplias malabaricus_Pequeño;12000;12000
La Plata - Bahía Málaga_Lobotes pacifica_Varios tamaños;8000;12000
La Plata - Bahía Málaga_Epinephelus quinquefasciatus_Pescado especial;14000;17000
La Plata - Bahía Málaga_Sciades dowii_Grande;8000;8000
La Plata - Bahía Málaga_Notarius spp._Varios tamaños;5800;8000
La Plata - Bahía Málaga_Mugil cephalus_Varios tamaños;6000;6000
La Plata - Bahía Málaga_Lutjanus argentiventris_Varios tamaños;12000;12000
La Plata - Bahía Málaga_Lutjanus guttatus_Varios tamaños;13000;17000
La Plata - Bahía Málaga_Cynoscion phoxocephalus_Varios tamaños;12000;17000
La Plata - Bahía Málaga_Bagre panamensis_Varios tamaños;3000;3000
La Plata - Bahía Málaga_Diapterus brevirostris_Varios tamaños;2500;3000
La Plata - Bahía Málaga_Ariopsis seemanni_Varios tamaños;2500;3000
La Plata - Bahía Málaga_Caranx caninus_Varios tamaños;2500;3000
La Plata - Bahía Málaga_Lutjanus colorado_Varios tamaños;13050;17000
La Plata - Bahía Málaga_Sciades dowii_Varios tamaños;8000;8350
El Puerto (Puerto Carreño)_Sorubimichthys planiceps_Pequeño;5000;7450
El Puerto (Puerto Carreño)_Rhaphiodon vulpinus_Pequeño;1000;4550
El Puerto (Puerto Carreño)_Pygocentrus cariba_Varios tamaños;4000;8000
El Puerto (Puerto Carreño)_Pellona castelnaeana_Grande;3400;6000
El Puerto (Puerto Carreño)_Brachyplatystoma rousseauxii_Varios tamaños;3600;9900
La Plata - Bahía Málaga_Epinephelus quinquefasciatus_Grande;14000;17000
La Plata - Bahía Málaga_Lobotes pacifica_Grande;8000;8000
Pesqueras - Pueblo Nuevo_Hyporthodus acanthistius_Grande;13000;14000
Pesqueras - Pueblo Nuevo_Otros grueso_Revuelto;7000;8000
Pesqueras - Pueblo Nuevo_Menticirrhus panamensis_Grande;18100;19000
Pesqueras - Pueblo Nuevo_Hyporthodus niphobles_Grande;13000;14000
Pesqueras - Pueblo Nuevo_Hyporthodus niphobles_Pequeño;5500;6000
Pesqueras - Pueblo Nuevo_Lutjanus novemfasciatus_Pequeño;9050;9950
Pesqueras - Pueblo Nuevo_Lutjanus argentiventris_Varios tamaños;13000;15000
Pesqueras - Pueblo Nuevo_Lutjanus guttatus_Pequeño;10000;11000
La Casa del Pescador_Centropomus armatus_Grande;12000;14000
La Casa del Pescador_Cynoscion albus_Grande;23250;28000
Pesqueras - Pueblo Nuevo_Bairdiella ensifera_Grande;4050;4950
Pesqueras - Pueblo Nuevo_Achirus klunzingeri_Grande;5000;6000
Muelle Principal (Puerto Leguízamo)_Mylossoma albiscopum_Revuelto;9000;10000
Muelle Principal (Puerto Leguízamo)_Plagioscion squamosissimus_Revuelto;8000;10000
Muelle Principal (Puerto Leguízamo)_Pseudoplatystoma tigrinum_Revuelto;14000;15000
La Punta - Firme Cifuentes_Centropomus medius_Grande;11500;14000
Puente Pindo_Cynoscion squamipinnis_Extragrande;11200;17500
Puente Pindo_Centropomus armatus_Mediano;7000;8000
Puente Pindo_Lutjanus guttatus_Grande;22000;29000
Puente Pindo_Cynoscion phoxocephalus_Grande;21000;21000
Puente Pindo_Ariopsis seemanni_Mediano;5000;5900
Puente Pindo_Kyphosus ocyurus_Grande;11000;12800
Puente Pindo_Sphyraena ensis_Pescado menudo;2000;3450
Puerto Arango_Brachyplatystoma filamentosum_Revuelto;21150;22000
Puerto Arango_Zungaro zungaro_Revuelto;20000;22000
La Rampa (Barrancabermeja)_Triportheus magdalenae_Revuelto;3000;5000
La Rampa (Barrancabermeja)_Cynopotamus magdalenae_Revuelto;3755;5000
La Rampa (Barrancabermeja)_Prochilodus magdalenae_Grande;5000;10000
La Rampa (Barrancabermeja)_Brycon moorei_Revuelto;9700;15750
La Rampa (Barrancabermeja)_Megaleporinus muyscorum_Revuelto;2000;4980
La Rampa (Barrancabermeja)_Hoplias malabaricus_Revuelto;3150;4850
La Rampa (Barrancabermeja)_Sternopygus aequilabiatus_Revuelto;3500;5250
La Rampa (Barrancabermeja)_Pimelodus grosskopfii_Revuelto;4000;5000
La Rampa (Barrancabermeja)_Prochilodus magdalenae_Pescado especial;5000;11500
La Rampa (Barrancabermeja)_Pseudoplatystoma magdaleniatum_Pequeño;13100;18000
El Malecón (Neiva)_Isorineloricaria tenuicauda_Revuelto;11000;11800
Betania - Naya_Bagre pinnimaculatus_Grande;6500;8000
Betania - Naya_Cynoscion phoxocephalus_Mediano;10000;13000
Betania - Naya_Centropomus armatus_Mediano;10000;13000
Betania - Naya_Macrodon mordax_Mediano;11700;13000
Betania - Naya_Cynoscion albus_Grande;20550;21000
Chamuscado - Naya_Mugil cephalus_Pequeño;3500;3900
Chamuscado - Naya_Lutjanus argentiventris_Mediano;13000;13000
Santa Cruz - Naya_Lutjanus novemfasciatus_Grande;13000;13000
Santa Cruz - Naya_Cynoscion albus_Pequeño;12000;13000
Santa Cruz - Naya_Notarius troschelii_Mediano;6000;10000
Santa Cruz - Naya_Centropomus medius_Mediano;12000;13000
Santa Cruz - Naya_Cynoscion albus_Mediano;12000;13000
Marriaga_Centropomus undecimalis_Mediano;10000;10000
Santa Cruz - Naya_Lutjanus novemfasciatus_Mediano;13000;13000
Puerto de desembarco (Barrancominas)_Brycon amazonicus_Revuelto;4200;6000
Bazán La Bocana_Kyphosus elegans_Grande;8000;8000
Bazán La Bocana_Cathorops fuerthii_Grande;3000;3000
Bazán La Bocana_Parapsettus panamensis_Grande;10000;10000
Bazán La Bocana_Bagre panamensis_Grande;1500;2000
Paujil_Pterygoplichthys gibbiceps_Revuelto;3605;6700
Juanchaco_Hoplopagrus guentherii_Grande;3000;6000
Juanchaco_Lutjanus argentiventris_Pequeño;10000;14000
Juanchaco_Chaetodipterus zonatus_Pequeño;4000;8000
Juanchaco_Lutjanus guttatus_Mediano;14000;17000
Paujil_Brachyplatystoma juruense_Revuelto;4200;6700
Paujil_Zungaro zungaro_Revuelto;3600;6790
Juanchaco_Lutjanus novemfasciatus_Grande;11100;12000
Juanchaco_Caranx caninus_Grande;3000;4000
Puerto Boyacá_Prochilodus magdalenae_Revuelto;12000;16000
Puerto Boyacá_Pimelodus yuma_Revuelto;8000;14000
Puerto Boyacá_Sorubim cuspicaudus_Revuelto;12000;18000
Puerto Boyacá_Pseudoplatystoma magdaleniatum_Revuelto;15000;22000
Puerto Boyacá_Pimelodus grosskopfii_Revuelto;12000;20000
Clarinetero_Pellona castelnaeana_Varios tamaños;4050;4950
Muelle La Samaritana_Brotula clarkae_Grande;15000;17000
Muelle La Samaritana_Brotula clarkae_Pequeño;3000;3000
Muelle La Samaritana_Hyporthodus acanthistius_Grande;11000;12750
Muelle La Samaritana_Caulolatilus affinis_Grande;5000;5000
Muelle La Samaritana_Hyporthodus niphobles_Grande;13000;13000
Muelle La Samaritana_Lutjanus guttatus_Platero (para pargos);22000;22000
Muelle La Samaritana_Lutjanus guttatus_Mediano;14000;15000
Muelle La Samaritana_Scomberomorus sierra_Grande;11000;11000
Muelle La Samaritana_Scomberomorus sierra_Pequeño;6000;6000
Muelle La Samaritana_Anadara tuberculosa_Varios tamaños;10000;10000
Muelle La Samaritana_Bagre panamensis_Grande;5000;5000
Muelle La Samaritana_Notarius troschelii_Grande;5000;5000
Muelle La Samaritana_Centropomus robalito_Grande;12000;12000
Muelle La Samaritana_Cynoscion squamipinnis_Grande;12000;12000
Muelle La Samaritana_Menticirrhus spp._Grande;8000;8000
Muelle La Samaritana_Lutjanus argentiventris_Grande;12000;12000
Muelle La Samaritana_Lutjanus colorado_Grande;12000;12000
Clarinetero_Pseudopimelodus sp. 4_Varios tamaños;2000;5000
Clarinetero_Hydrolycus armatus_Varios tamaños;3100;4900
Muelle Las Flores_Lutjanus guttatus_Platero (para pargos);22000;24000
Muelle Las Flores_Lutjanus guttatus_Mediano;14000;16000
