Cuenca o Litoral;Estrato menor;Estrato;Sitio desembarco;Tipo de unidad;Mes;Epoca;Cuartil_inf;Cuartil_sup
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Curillo;PM;5;Meses Epoca Baja;2.235;20.15
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Curillo;PM;6;Meses Epoca Baja;2.235;20.15
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Curillo;PM;7;Meses Epoca Alta;7.35;33
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Curillo;PM;10;Meses Epoca Baja;2.235;20.15
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Curillo;PM;11;Meses Epoca Alta;7.35;33
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Curillo;PM;12;Meses Epoca Media;2.53;20.775
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Curillo;UEP;1;No patrón;1.65;8.77
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Curillo;UEP;5;No patrón;1.65;8.77
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Curillo;UEP;6;No patrón;1.65;8.77
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Curillo;UEP;7;No patrón;1.65;8.77
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Curillo;UEP;9;No patrón;1.65;8.77
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Curillo;UEP;10;No patrón;1.65;8.77
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;IM;1;Meses Epoca Alta;53.4;3.289.775
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;IM;2;Meses Epoca Alta;53.4;3.289.775
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;IM;3;Meses Epoca Media;219.125;213.35
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;IM;4;Meses Epoca Media;219.125;213.35
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;IM;5;Meses Epoca Media;219.125;213.35
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;IM;6;Meses Epoca Baja;15.95;115.425
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;IM;7;Meses Epoca Baja;15.95;115.425
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;IM;8;Meses Epoca Media;219.125;213.35
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;IM;9;Meses Epoca Baja;15.95;115.425
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;IM;10;Meses Epoca Baja;15.95;115.425
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;IM;11;Meses Epoca Baja;15.95;115.425
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;IM;12;Meses Epoca Media;219.125;213.35
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;UEP;1;Meses Epoca Alta;177.965;145.4
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;UEP;2;Meses Epoca Media;11.5;68.955
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;UEP;3;Meses Epoca Media;11.5;68.955
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;UEP;4;Meses Epoca Alta;177.965;145.4
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;UEP;5;Meses Epoca Media;11.5;68.955
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;UEP;6;Meses Epoca Baja;87.175;325.375
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;UEP;7;Meses Epoca Baja;87.175;325.375
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;UEP;8;Meses Epoca Baja;87.175;325.375
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;Aparca;UEP;9;Meses Epoca Baja;87.175;325.375
